,Station location,BiciMAD station,dock_bikes,Place of interest,Place address,Type of place,distance
399700,Calle Hacienda de Pavones nº 342,Pavones,8,Apeadero de Pavones, ,Monumentos de la ciudad de Madrid,522.7243744160754
197207,Paseo de Moret nº 2,Moncloa,13,Arco de Moncloa, ,Monumentos de la ciudad de Madrid,125.6392644493741
457046,Avenida Pío XII nº 3,Pío XII,11,Arcángel San Miguel,C Costa del Sol 1,Monumentos de la ciudad de Madrid,3035.76866487841
344152,Calle Velázquez nº 91,Velázquez-Diego de León,16,Armando Palacio Valdés,CALLE MALDONADO 25,Monumentos de la ciudad de Madrid,148.07805096558607
37721,Calle Jacometrezo nº 3,Jacometrezo,21,Artieda y Labiano,C Navas de Tolosa 10,Monumentos de la ciudad de Madrid,109.6206120167961
414042,Calle Jose del Hierro nº 5,C.D. Concepción,3,Arturo Duperier Vallesa,CALLE VIRGEN DEL PORTILLO 37,Monumentos de la ciudad de Madrid,188.75857597738988
385371,Calle Antonio López nº 129,Glorieta de Cádiz,7,Arturo Pajuelo Rubio,Pza Sestao ,Monumentos de la ciudad de Madrid,2627.811071452859
415836,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Arturo Soria y Mata,C Arturo Soria ,Monumentos de la ciudad de Madrid,560.8388580544032
383581,Glorieta Marqués de Vadillo nº 9,Marqués de Vadillo,12,Asilo de Inválidos,C Arnedo 22,Monumentos de la ciudad de Madrid,3062.878435123027
64606,Plaza de Ramales,Plaza Ramales,8,Ataulfo,Pza Oriente ,Monumentos de la ciudad de Madrid,137.2017963662236
301151,Calle Segovia nº 26,Segovia 26,8,Atentado boda real Alfonso XIII,C Mayor 79,Monumentos de la ciudad de Madrid,191.32108373262017
59232,Calle Carretas nº 8,Carretas,0,Atentados 11-M,Pza Puerta del Sol 7,Monumentos de la ciudad de Madrid,62.36130639413338
449889,Calle Serrano nº 113B,Serrano 113,16,Atletas,CALLE SERRANO 127,Monumentos de la ciudad de Madrid,115.02201915580216
383586,Glorieta Marqués de Vadillo nº 9,Marqués de Vadillo,12,Atletas,C Clara Campoamor 10,Monumentos de la ciudad de Madrid,2603.155863308266
